"open","high","low","close","volume","will5","will14","ema12","next1"
617.99,637.06,552,565.56,75.97,-87.42115028,-73.4745929,621.4559975,589.68
565.56,617.31,565.56,589.68,19.43,-64.35868331,-57.7006082,616.5673825,575.6
589.68,600,542.96,575.6,15.89,-71.55803416,-66.90863907,610.2647083,589.55
575.6,589.55,534.28,589.55,34.51,-52.20925205,-57.78562553,607.0778301,597.14
589.55,612.91,574.18,597.14,10.67,-38.84024129,-52.82192139,605.5489332,608.97
597.14,608.98,586.25,608.97,2.8,-10.04456221,-42.65519361,606.0752511,605.89
608.97,625,603.41,605.89,10,-21.06481481,-47.1395881,606.046751,595.93
605.89,627.05,594.12,595.93,8.41,-33.54532715,-50.96245625,604.4903277,593.9
595.93,602.79,578.51,593.9,5.81,-62.70096463,-52.50159337,602.8610465,590.59
593.9,598.5,581.09,590.59,0.7642,-75.11330861,-55.13862333,600.9731932,596.24
590.59,602.33,584.75,596.24,8.34,-63.47342398,-49.80557356,600.2450097,584.42
596.24,596.24,584.42,584.42,2.64,-87.82447466,-59.38107583,597.8103928,586.15
584.42,595.23,576.13,586.15,2.85,-62.4156039,-55.14915694,596.0164862,564.42
586.15,586.15,557.43,564.42,29.23,-84.43207127,-70.67522864,591.1554883,583.26
564.42,583.26,564.42,583.26,2.76,-42.47216036,-47.20275951,589.9407978,597.69
583.26,600,575.35,597.69,21.78,-5.426356589,-31.64816212,591.1329828,596.12
597.69,604.38,590.76,596.12,4.14,-17.59318424,-33.34051956,591.9002162,589.76
596.12,602.3,589.76,589.76,0.9983,-31.13951012,-53.56219477,591.5709522,637.07
589.76,645,587.72,637.07,18.67,-9.841151651,-9.055612653,598.5708057,650
637.07,657.83,634.16,650,12.04,-9.493210475,-7.798804781,606.4829894,645.77
650,658.87,638,645.77,25.77,-18.41180604,-12.91403785,612.5271449,647.55
645.77,655.08,638.89,647.55,6.04,-15.91004919,-11.15930599,617.9152764,635.25
647.55,655,622.6,635.25,10.3,-33.19747013,-23.28470032,620.582157,628.99
635.25,635.25,618,628.99,3.74,-73.10986053,-29.45583596,621.8756713,629.1
628.99,652.78,628.99,629.1,2.25,-72.84071446,-29.34739748,622.9871065,625.99
629.1,638.97,614.74,625.99,6.47,-72.1120476,-32.41324921,623.4490901,617.04
625.99,626.87,614.74,617.04,1.44,-94.28713363,-41.23619874,622.4630762,627.9
617.04,627.9,615.35,627.9,1.63,-65.40483701,-32.78983589,623.2995261,614.47
627.9,632.11,614.47,614.47,0.6427,-100,-53.16091954,621.9411374,629.46
614.47,629.46,614.47,629.46,1.5,-38.81632653,-41.33520731,623.0978855,632
629.46,639.34,629.46,632,0.6899,-29.51347004,-37.76528461,624.4674416,626.5
632,653.49,625.29,626.5,1.05,-69.16965659,-45.49543219,624.7801429,626.23
626.5,632.67,618.14,626.23,1.34,-69.86160943,-73.51351351,625.0031978,620.03
626.23,626.23,620.03,620.03,0.18,-85.75089698,-87.47747748,624.2380905,625.22
620.03,626.16,612.9,625.22,7.41,-69.64769648,-70.79184448,624.3891535,624.98
625.22,630.01,610.35,624.98,0.9631,-66.08715809,-67.23404255,624.4800529,626
624.98,629,615.17,626,12.29,-29.88351254,-63.7227631,624.7138909,630
626,630,626,630,1.56,-0.0508647,-54.45062587,625.5271385,619
630,630,619,619,0.5068,-56.00203459,-79.94900325,624.5229633,629.77
619,629.77,619,629.77,0.0006352,-1.220752798,-54.98377376,625.3301998,618.69
629.77,629.77,618.69,618.69,8.44,-76.26432906,-80.66759388,624.3086306,618.62
618.69,623.98,610,618.62,7.5,-56.9,-80.17935158,623.4334566,605.64
618.62,623.43,593.86,605.64,17.72,-67.40453791,-80.2448432,620.6960018,596.08
605.64,623.22,593.8,596.08,8.67,-93.66138449,-96.1802647,616.9089246,600
596.08,607.96,593.8,600,5.06,-82.76341396,-89.6130005,614.3075516,600
600,600,600,600,0.1545,-79.45659377,-84.04939542,612.1063898,591.9
600,600,574.58,591.9,4.09,-64.54452405,-68.75338264,608.9977144,583.21
591.9,597.66,575.07,583.21,2.68,-82.25740132,-84.43081364,605.0303737,566.75
583.21,588.98,566.75,566.75,11.67,-100,-100,599.1410855,590.21
566.75,591.95,566.75,590.21,33.05,-29.44360902,-62.90909091,597.7670723,596.4
590.21,602.36,584.77,596.4,3.05,-16.73687167,-53.12252964,597.5567535,590.49
596.4,601.18,590.49,590.49,2.57,-33.33333333,-62.46640316,596.4695607,578.86
590.49,594.8,578.86,578.86,1.79,-65.99269868,-80.78387813,593.7603975,596.25
578.86,596.25,578.86,596.25,4.11,-17.15810166,-53.18946366,594.1434133,579
596.25,598.03,579,579,9.04,-99.40425532,-78.59514241,591.8136574,579
579,579,579,579,0,-99.37275986,-78.38743825,589.8423255,580.58
579,593,577.24,580.58,16.81,-83.93458393,-75.50911989,588.4173523,590
580.58,590,580.58,590,0.4273,-38.62433862,-43.58165494,588.6608366,590
590,590,578.14,590,7.8,-38.62433862,-34.70935131,588.8668617,583.24
590,595.36,583.24,583.24,1.66,-66.88741722,-53.69278293,588.0011907,572.77
583.24,595.36,572.77,572.77,0.4779,-100,-83.09463634,585.6579306,580
572.77,580,566.99,580,3.82,-54.14169898,-62.79135074,584.7874797,535.08
580,580,531.64,535.08,4.35,-94.60138104,-95.13574661,577.1401751,523.76
535.08,553.83,501,523.76,31.83,-75.87961,-77.54538279,568.9278405,530
523.76,530,501,530,22.87,-69.26663841,-71.05210621,562.938942,503.52
530,530,500,503.52,12.1,-95.6,-96.40926247,553.7975663,500
503.52,539.99,500,500,2.65,-100,-100,545.5210176,455
500,505,455,455,28.55,-100,-100,531.5947072,500.5
455,500.5,455,500.5,77.76,-46.46428992,-67.58335708,526.8109061,530
474.02,530,474.02,530,13.53,-11.75432404,-46.56597321,527.3015359,505
530,530,500.01,505,4.62,-41.16954936,-64.37731547,523.8705304,529.95
505,529.97,482.22,529.95,9.62,-0.066666667,-46.6015959,524.8058334,525
529.95,529.95,482.27,525,0.5639,-6.666666667,-50.12824166,524.8357052,524.88
525,525,524.88,524.88,0.7,-9.146123616,-50.21373611,524.8425198,516.12
524.88,524.88,490.1,516.12,26.86,-29.04981164,-51.104,523.5005937,516.12
516.12,516.12,516.12,516.12,0,-29.0052356,-51.104,522.3651177,524.85
516.12,524.85,516.12,524.85,1.31,-10.69630872,-29.32308004,522.7474073,495.08
524.85,524.85,495.08,495.08,0.02382,-85.73065903,-52.84151077,518.4908831,524.88
495.08,524.88,495.08,524.88,0.5178,0,-17.77856218,519.4738242,524.27
524.88,524.88,495.26,524.27,0.4584,-2.046979866,-18.49629368,520.2116974,509.98
524.27,524.27,490.5,509.98,5.61,-43.33915067,-26.69333333,518.6375901,490.01
509.98,509.98,490.01,490.01,0.09953,-100,-53.32,514.2333455,524.77
490.01,524.77,490.01,524.77,3.811e-05,-0.315457413,-9.342622365,515.8543692,524.77
524.77,524.77,524.77,524.77,0,-0.315457413,-10.94600251,517.2260047,475.01
524.77,524.77,475,475.01,3.41,-99.97990757,-99.98180826,510.7312348,475.01
475.01,475.01,475.01,475.01,0,-99.97990757,-99.98180164,505.2356602,524.77
475.01,524.77,475.01,524.77,0.1769,0,-0.46,508.2409432,480
524.77,524.77,480,480,1.24,-89.95378742,-89.97594226,503.8961827,488.77
480,524.77,465,488.77,41.14,-60.23088506,-60.30394122,501.5690777,475
488.77,488.77,465,475,0.5077,-83.26919859,-83.2999332,497.4815273,475
475,475,475,475,0.02,-83.26919859,-83.2999332,494.0228308,475
475,475,475,475,1.01,-83.26919859,-83.2999332,491.0962414,475
475,475,475,475,0,-83.26919859,-83.2999332,488.6198966,474.77
475,475,474.77,474.77,0.1492,-58.8977703,-83.65400703,486.4891433,490
474.77,490,474.77,490,0.212,0,-58.17299649,487.0292751,465.01
490,490,465.01,465.01,3.08,-100,-99.9832692,483.6416943,465
465.01,528,465,465,2.76,-100,-100,480.7737413,445
465,465,445,445,5.14,-100,-100,475.2700888,503.18
445,503.18,400,503.18,18.12,-19.390625,-19.390625,479.5639213,375.94
503.18,503.18,375.94,375.94,1.5,-100,-100,463.6217796,385
375.94,466.67,375.94,385,0.1559,-94.0418256,-94.0418256,451.5261212,385.01
385,450,385,385.01,1.2,-92.87173845,-94.03524924,441.2928718,404.83
385.01,425,295,404.83,24.18,-47.24277068,-52.86266094,435.6831992,449.81
404.83,453,404.83,449.81,6.9,-25.63646844,-33.55793991,437.8565532,433.15
449.81,449.81,412.34,433.15,4.09,-19.52583445,-40.70815451,437.1324681,397
433.15,433.15,397,397,4.51,-35.44303797,-56.22317597,430.9582422,397
