"open","high","low","close","volume","will14","ema26","next1"
509.98,509.98,490.01,490.01,0.09953,-53.32,529.8801599,524.77
490.01,524.77,490.01,524.77,3.811e-05,-9.342622365,529.5016296,524.77
524.77,524.77,524.77,524.77,0,-10.94600251,529.1511385,475.01
524.77,524.77,475,475.01,3.41,-99.98180826,525.1406838,475.01
475.01,475.01,475.01,475.01,0,-99.98180164,521.4272998,524.77
475.01,524.77,475.01,524.77,0.1769,-0.46,521.6749072,480
524.77,524.77,480,480,1.24,-89.97594226,518.5878771,488.77
480,524.77,465,488.77,41.14,-60.30394122,516.3791454,475
488.77,488.77,465,475,0.5077,-83.2999332,513.3140235,475
475,475,475,475,0.02,-83.2999332,510.4759477,475
475,475,475,475,1.01,-83.2999332,507.8480998,475
475,475,475,475,0,-83.2999332,505.4149072,474.77
475,475,474.77,474.77,0.1492,-83.65400703,503.1449141,490
474.77,490,474.77,490,0.212,-58.17299649,502.1712167,465.01
490,490,465.01,465.01,3.08,-99.9832692,499.418534,465
465.01,528,465,465,2.76,-100,496.869013,445
465,465,445,445,5.14,-100,493.0268639,503.18
445,503.18,400,503.18,18.12,-19.390625,493.778948,375.94
503.18,503.18,375.94,375.94,1.5,-100,485.050137,385
375.94,466.67,375.94,385,0.1559,-94.0418256,477.6390158,385.01
385,450,385,385.01,1.2,-94.03524924,470.7776072,404.83
385.01,425,295,404.83,24.18,-52.86266094,465.8925993,449.81
404.83,453,404.83,449.81,6.9,-33.55793991,464.7012956,433.15
449.81,449.81,412.34,433.15,4.09,-40.70815451,462.3641626,397
433.15,433.15,397,397,4.51,-56.22317597,457.5223728,397
397,397,397,397,0,-56.22317597,453.0392341,397
397,397,397,397,0,-56.22317597,448.8881797,390
397,450,387.63,390,10.78,-59.22746781,444.5260923,370.94
390,394,370.01,370.94,0.7155,-67.40772532,439.0752706,380.02
370.94,393.22,370.12,380.02,6.68,-59.16034201,434.7008062,390
380.02,390,380.02,390,2,-54.36641368,431.3896353,370.11
390,390,370.1,370.11,0.275,-63.9206456,426.8504031,355
370.11,389.98,355,355,20.27,-65.04922235,421.528151,322.11
355,369.63,322.11,322.11,38.11,-82.84177215,414.1638435,330
322.11,330,273.33,330,18.72,-68.45884121,407.9294847,349.85
330,349.85,300,349.85,53.41,-57.4108087,403.6273007,335
349.85,349.85,315.06,335,0.12,-65.09311145,398.5437969,359.98
335,359.98,335,359.98,8.1,-50.95375559,395.6872194,370.19
359.98,400,335.16,370.19,30.22,-45.17461935,393.7985365,355.59
370.19,378.99,355.59,355.59,7.78,-53.43861437,390.9682745,357.18
355.59,379,355.59,357.18,0.4618,-52.53863135,388.4654394,379
357.18,379,352.83,379,16.63,-16.57851109,387.7642957,400
379,400,370.1,400,20.85,0,388.6706442,411.26
400,418.99,395.28,411.26,29.73,-5.306879033,390.3439298,400.31
411.26,411.26,385.48,400.31,11.23,-12.82438556,391.0821572,389.14
400.31,400.31,374.61,389.14,16.08,-20.49292874,390.9382937,381.01
389.14,389.14,376.73,381.01,0.05216,-26.07441988,390.2028645,395.79
381.01,395.79,371,395.79,0.9598,-15.9275024,390.6167264,395.79
395.79,395.79,395.79,395.79,0,-19.49743676,390.9999319,391.24
395.79,395.79,391.24,391.24,0.05,-26.70066391,391.0177147,391.58
391.24,391.58,371,391.58,9.92,-32.63483748,391.0593655,388.71
391.58,393.49,371.38,388.71,2.66,-36.12072051,390.8853384,368.64
388.71,388.71,365,368.64,11.95,-76.10338573,389.2375356,373.35
368.64,373.69,355,373.35,7.6,-68.98428053,388.0606811,359.51
373.35,373.35,355,359.51,7.81,-89.90326481,385.9458158,362.5
359.51,384.72,359.51,362.5,6.12,-88.27941866,384.2090887,364.3
362.5,368.15,362.5,364.3,0.04324,-85.46647914,382.7343414,365.13
364.3,365.13,352.01,365.13,0.5898,-77.85654008,381.4303161,335.07
365.13,365.13,335.01,335.07,8.87,-99.90811639,377.9962186,346.02
335.07,350,335,346.02,7.56,-81.87201842,375.6276098,347.95
346.02,347.95,344.29,347.95,0.03559,-78.69715414,373.5774165,320
347.95,347.95,320,320,5.66,-100,369.608719,323.94
320,325.19,320,323.94,0.1154,-94.80142499,366.2258509,325
323.94,325.19,323.94,325,4.97,-93.19635325,363.1720842,325
325,330,325,325,16.87,-93.19635325,360.3445224,328.2
325,348.2,325,328.2,9.73,-88.06578373,357.9634467,348
328.2,349.17,328.2,348,0.04009,-56.73671199,357.2254136,347.08
348,348,333,347.08,6.6,-58.15822002,356.4739015,350
347.08,350,330.16,350,4.81,-53.64647713,355.9943532,350
350,350,338.66,350,19.36,-37.69470405,355.550327,355
350,370,350,355,3.57,-30,355.5095621,371.7
355,372.63,355,371.7,5.42,-1.767053012,356.7088538,423.48
371.7,430.36,371.7,423.48,219.46,-6.234142805,361.6548646,415
423.48,450,380,415,65.88,-26.92307692,365.6063561,395
415,417.77,395,395,23.16,-42.30769231,367.7836631,379.99
395,395,378.97,379.99,10.68,-53.85384615,368.6878362,380
379.99,395,379.56,380,1.56,-55.52911312,369.5257742,400
380,414.26,376,400,25.27,-40,371.7831243,375.02
400,400,370.39,375.02,13.23,-59.984,372.0228929,390
375.02,392.96,375.02,390,0.9256,-49.26108374,373.3545304,354.38
390,390,354.33,354.38,67.07,-79.78971963,371.9490097,360
354.38,360,342.66,360,1.64,-75.10013351,371.0638978,370
360,370,360,370,4.05,-71.85198491,370.9850906,370
370,370,360,370,4.76,-74.52953233,370.9121209,372
370,385,370,372,11.24,-72.66629402,370.9927045,376
372,390,372,376,10.13,-68.9398174,371.3636153,372.87
376,389.94,366.42,372.87,19.24,-71.85578535,371.4751994,376.9
372.87,385.69,365.01,376.9,2.38,-54.41352683,371.8770365,387
376.9,387,360.52,387,23.27,-38.0726257,372.997256,379.09
387,387,379.09,379.09,4.2,-49.12011173,373.4485703,386.32
379.09,386.32,379.09,386.32,0.001595,-39.02234637,374.4020096,374.03
386.32,386.74,370.13,374.03,4.18,-45.2912452,374.3744533,386.15
374.03,386.15,372.91,386.15,3.81,-13.5387674,375.246716,380
386.15,386.15,371.46,380,23.49,-21.12378538,375.5988111,379.75
380,380,364.72,379.75,3.76,-21.65188002,375.9063066,375.19
379.75,380,375.19,375.19,4.68,-49.36666667,375.8532469,374
375.19,394.59,367,374,34.17,-59.52587453,375.7159693,373.07
374,389.98,370.43,373.07,0.3818,-63.16407397,375.5199716,362.58
373.07,376.06,360.29,362.58,4.53,-93.32361516,374.5614552,345.49
362.58,376,342.46,345.49,6.64,-94.1876079,372.4080141,345.56
345.49,357.5,345.49,345.56,0.1607,-94.05332822,370.4192723,372.12
345.56,372.12,342.5,372.12,0.7364,-43.10377901,370.5452521,360
372.12,372.12,346.77,360,0.9118,-66.3533474,369.7641223,352
360,360,350,352,33.15,-81.69959716,368.4482614,350
352,358.98,350,350,0.6043,-85.5361596,367.0817235,343.07
350,358.98,342.04,343.07,22.78,-98.03996194,365.3030773,330.09
342.04,358.92,330.09,330.09,4.45,-100,362.6947012,329.99
330.09,355.33,315.02,329.99,30.11,-81.18637678,360.2721308,320
329.99,332.17,310,320,5.86,-88.17827166,357.28901,349.98
320,368.12,310.03,349.98,23.07,-52.73673011,356.7476018,348.99
349.98,349.98,348.99,348.99,1.87,-51.25031258,356.1729647,325.01
348.99,348.99,319.67,325.01,39.87,-77.27823191,353.8645969,327.06
325.01,327.06,325.01,327.06,1.08,-74.15151515,351.8790712,338.75
327.06,342.08,327.06,338.75,0.5716,-53.71860914,350.9065474,320.38
338.75,338.75,320.38,320.38,4.11,-83.29040567,348.6453217,320.38
320.38,320.38,320.38,320.38,0,-83.29040567,346.5515941,320.48
320.38,320.48,320.38,320.48,0.01,-81.96834136,344.620365,313.37
320.48,320.48,313.37,313.37,3.74,-94.20165175,342.3055231,313.01
313.37,320.04,313.01,313.01,1.9,-94.82105988,340.1354844,314.76
313.01,325,313.01,314.76,29.97,-91.81004818,338.2558188,313
314.76,338.95,313,313,4.55,-94.83826566,336.3850175,319.14
313,319.14,313,319.14,9.61,-84.27391604,335.1076088,325
319.14,325,314.03,325,0.435,-74.22964366,334.358897,315.3
325,325,313.18,315.3,8.92,-93.78042185,332.9471268,295
315.3,319.93,295,295,52.48,-100,330.1362286,265.87
295,297.48,265.87,265.87,25.49,-100,325.3757672,277.4
265.87,280,252.32,277.4,61.92,-72.05882353,321.8220067,281.15
277.4,293.66,260,281.15,8.48,-66.72053561,318.8092654,300
281.15,300,269,300,7.71,-44.96132979,317.4159865,283.53
300,300,283.53,283.53,8.34,-63.97321944,314.9059134,283.5
283.53,295.72,283,283.5,3.5,-64.00784947,312.5795495,277.78
283.5,300,274.73,277.78,53.89,-70.61064296,310.0018051,265
277.78,277.78,265,265,1.77,-85.36303821,306.668338,265.06
265,300,263.02,265.06,59.03,-85.29377814,303.5862389,216
265.06,268,215.09,216,200.71,-99.17204986,297.0983694,175
216,230.99,175,175,204.92,-100,288.0540457,219
175,236.47,175,219,133.32,-70.66666667,282.9389312,213.36
219,219,195.2,213.36,44.71,-73.53204996,277.7849363,200
213.36,213.36,196,200,9.22,-80,272.0230892,219.98
200,220,199.5,219.98,31.12,-64.016,268.1680455,211.01
219.98,219.98,206,211.01,7.54,-71.192,263.9341162,219.82
211.01,219.84,208.4,219.82,5.22,-64.144,260.6664039,224.49
219.82,225.91,206.1,224.49,47.35,-60.408,257.9866703,227.02
224.49,241.02,224.49,227.02,26.41,-58.384,255.6928429,228.04
227.02,231.24,222.68,228.04,10.24,-57.568,253.6444841,250.87
228.04,251.36,228.02,250.87,108.7,-39.304,253.4389668,257.06
250.87,257.06,241.28,257.06,46.71,-34.352,253.7071915,270
257.06,307.05,250.04,270,86.66,-28.05755396,254.9140662,250.85
270,270,205,250.85,59.44,-42.5596365,254.6130242,248
