"open","high","low","close","volume","will5","next1"
391.58,393.49,371.38,388.71,2.66,-28.55990319,368.64
388.71,388.71,365,368.64,11.95,-88.17797986,373.35
368.64,373.69,355,373.35,7.6,-55.0134837,359.51
373.35,373.35,355,359.51,7.81,-88.28267082,362.5
359.51,384.72,359.51,362.5,6.12,-80.51441933,364.3
362.5,368.15,362.5,364.3,0.04324,-72.41174726,365.13
364.3,365.13,352.01,365.13,0.5898,-59.88994191,335.07
365.13,365.13,335.01,335.07,8.87,-99.87929994,346.02
335.07,350,335,346.02,7.56,-77.83588093,347.95
346.02,347.95,344.29,347.95,0.03559,-60.93514329,320
347.95,347.95,320,320,5.66,-100,323.94
320,325.19,320,323.94,0.1154,-91.26966541,325
323.94,325.19,323.94,325,4.97,-83.33333333,325
325,330,325,325,16.87,-82.11091234,328.2
325,348.2,325,328.2,9.73,-70.92198582,348
328.2,349.17,328.2,348,0.04009,-4.010970175,347.08
348,348,333,347.08,6.6,-8.28378914,350
347.08,350,330.16,350,4.81,0,350
350,350,338.66,350,19.36,0,355
350,370,350,355,3.57,-35.88516746,371.7
355,372.63,355,371.7,5.42,-2.189781022,423.48
371.7,430.36,371.7,423.48,219.46,-6.866267465,415
423.48,450,380,415,65.88,-31.4352434,395
415,417.77,395,395,23.16,-55,379.99
395,395,378.97,379.99,10.68,-73.69473684,380
379.99,395,379.56,380,1.56,-89.39974457,400
380,414.26,376,400,25.27,-67.56756757,375.02
400,400,370.39,375.02,13.23,-90.22794428,390
375.02,392.96,375.02,390,0.9256,-55.29974926,354.38
390,390,354.33,354.38,67.07,-99.91656933,360
354.38,360,342.66,360,1.64,-75.78212291,370
360,370,360,370,4.05,-52.31949773,370
370,370,360,370,4.76,-45.64612326,372
370,385,370,372,11.24,-38.02281369,376
372,390,372,376,10.13,-29.57329954,372.87
376,389.94,366.42,372.87,19.24,-57.1,376.9
372.87,385.69,365.01,376.9,2.38,-43.66666667,387
376.9,387,360.52,387,23.27,-10.17639077,379.09
387,387,379.09,379.09,4.2,-37.00814111,386.32
379.09,386.32,379.09,386.32,0.001595,-12.30455472,374.03
386.32,386.74,370.13,374.03,4.18,-48.98036254,386.15
374.03,386.15,372.91,386.15,3.81,-3.209969789,380
386.15,386.15,371.46,380,23.49,-41.49377593,379.75
380,380,364.72,379.75,3.76,-31.74386921,375.19
379.75,380,375.19,375.19,4.68,-52.45231608,374
375.19,394.59,367,374,34.17,-68.93203883,373.07
374,389.98,370.43,373.07,0.3818,-72.04553063,362.58
373.07,376.06,360.29,362.58,4.53,-93.32361516,345.49
362.58,376,342.46,345.49,6.64,-94.1876079,345.56
345.49,357.5,345.49,345.56,0.1607,-94.05332822,372.12
345.56,372.12,342.5,372.12,0.7364,-37.58417508,360
372.12,372.12,346.77,360,0.9118,-47.79761905,352
360,360,350,352,33.15,-71.55635063,350
352,358.98,350,350,0.6043,-74.67927076,343.07
350,358.98,342.04,343.07,22.78,-96.57579787,330.09
342.04,358.92,330.09,330.09,4.45,-100,329.99
330.09,355.33,315.02,329.99,30.11,-66.71854157,320
329.99,332.17,310,320,5.86,-79.58350347,349.98
320,368.12,310.03,349.98,23.07,-31.21128699,348.99
349.98,349.98,348.99,348.99,1.87,-32.91465933,325.01
348.99,348.99,319.67,325.01,39.87,-74.17412251,327.06
325.01,327.06,325.01,327.06,1.08,-70.64693737,338.75
327.06,342.08,327.06,338.75,0.5716,-50.55947667,320.38
338.75,338.75,320.38,320.38,4.11,-97.65753877,320.38
320.38,320.38,320.38,320.38,0,-97.57844475,320.48
320.38,320.48,320.38,320.48,0.01,-99.53917051,313.37
320.48,320.48,313.37,313.37,3.74,-100,313.01
313.37,320.04,313.01,313.01,1.9,-100,314.76
313.01,325,313.01,314.76,29.97,-85.40450375,313
314.76,338.95,313,313,4.55,-100,319.14
313,319.14,313,319.14,9.61,-76.33911368,325
319.14,325,314.03,325,0.435,-53.75722543,315.3
325,325,313.18,315.3,8.92,-91.13680154,295
315.3,319.93,295,295,52.48,-100,265.87
295,297.48,265.87,265.87,25.49,-100,277.4
265.87,280,252.32,277.4,61.92,-65.49257017,281.15
277.4,293.66,260,281.15,8.48,-60.33296643,300
281.15,300,269,300,7.71,-29.47788789,283.53
300,300,283.53,283.53,8.34,-34.54278523,283.5
283.53,295.72,283,283.5,3.5,-34.6057047,277.78
283.5,300,274.73,277.78,53.89,-55.55,265
277.78,277.78,265,265,1.77,-100,265.06
265,300,263.02,265.06,59.03,-94.4835046,216
265.06,268,215.09,216,200.71,-98.928277,175
216,230.99,175,175,204.92,-100,219
175,236.47,175,219,133.32,-64.8,213.36
219,219,195.2,213.36,44.71,-69.312,200
213.36,213.36,196,200,9.22,-73.11827957,219.98
200,220,199.5,219.98,31.12,-26.82609403,211.01
219.98,219.98,206,211.01,7.54,-41.41857817,219.82
211.01,219.84,208.4,219.82,5.22,-0.725806452,224.49
219.82,225.91,206.1,224.49,47.35,-4.747576062,227.02
224.49,241.02,224.49,227.02,26.41,-33.71868979,228.04
227.02,231.24,222.68,228.04,10.24,-37.06453455,250.87
228.04,251.36,228.02,250.87,108.7,-1.082633672,257.06
250.87,257.06,241.28,257.06,46.71,0,270
257.06,307.05,250.04,270,86.66,-43.91371341,250.85
270,270,205,250.85,59.44,-55.07104361,248
250.85,280,248,248,66.57,-57.86379226,231.83
248,248,222.28,231.83,36.22,-73.70896619,220
231.83,239.36,220,220,55.19,-85.30132288,216.69
220,239.98,216.69,216.69,13.39,-84.41333333,239.98
216.69,239.98,210.01,239.98,5.1,-57.17959709,228
239.98,239.98,223.94,228,5.23,-52.64543301,235.45
228,246.93,228,235.45,18.47,-31.09425785,228.9
235.45,235.45,221.85,228.9,15.17,-48.83531961,217
228.9,228.9,215.25,217,17.34,-81.06717226,221.92
217,225,215,221.92,12.4,-78.32759161,229.66
221.92,231.58,218.44,229.66,1.81,-54.08706546,229.23
229.66,229.66,218.81,229.23,14.25,-30.41564792,220.5
