"open","high","low","close","volume","will14","ema12","next1"
566.75,591.95,566.75,590.21,33.05,-62.90909091,597.7670723,596.4
590.21,602.36,584.77,596.4,3.05,-53.12252964,597.5567535,590.49
596.4,601.18,590.49,590.49,2.57,-62.46640316,596.4695607,578.86
590.49,594.8,578.86,578.86,1.79,-80.78387813,593.7603975,596.25
578.86,596.25,578.86,596.25,4.11,-53.18946366,594.1434133,579
596.25,598.03,579,579,9.04,-78.59514241,591.8136574,579
579,579,579,579,0,-78.38743825,589.8423255,580.58
579,593,577.24,580.58,16.81,-75.50911989,588.4173523,590
580.58,590,580.58,590,0.4273,-43.58165494,588.6608366,590
590,590,578.14,590,7.8,-34.70935131,588.8668617,583.24
590,595.36,583.24,583.24,1.66,-53.69278293,588.0011907,572.77
583.24,595.36,572.77,572.77,0.4779,-83.09463634,585.6579306,580
572.77,580,566.99,580,3.82,-62.79135074,584.7874797,535.08
580,580,531.64,535.08,4.35,-95.13574661,577.1401751,523.76
535.08,553.83,501,523.76,31.83,-77.54538279,568.9278405,530
523.76,530,501,530,22.87,-71.05210621,562.938942,503.52
530,530,500,503.52,12.1,-96.40926247,553.7975663,500
503.52,539.99,500,500,2.65,-100,545.5210176,455
500,505,455,455,28.55,-100,531.5947072,500.5
455,500.5,455,500.5,77.76,-67.58335708,526.8109061,530
474.02,530,474.02,530,13.53,-46.56597321,527.3015359,505
530,530,500.01,505,4.62,-64.37731547,523.8705304,529.95
505,529.97,482.22,529.95,9.62,-46.6015959,524.8058334,525
529.95,529.95,482.27,525,0.5639,-50.12824166,524.8357052,524.88
525,525,524.88,524.88,0.7,-50.21373611,524.8425198,516.12
524.88,524.88,490.1,516.12,26.86,-51.104,523.5005937,516.12
516.12,516.12,516.12,516.12,0,-51.104,522.3651177,524.85
516.12,524.85,516.12,524.85,1.31,-29.32308004,522.7474073,495.08
524.85,524.85,495.08,495.08,0.02382,-52.84151077,518.4908831,524.88
495.08,524.88,495.08,524.88,0.5178,-17.77856218,519.4738242,524.27
524.88,524.88,495.26,524.27,0.4584,-18.49629368,520.2116974,509.98
524.27,524.27,490.5,509.98,5.61,-26.69333333,518.6375901,490.01
509.98,509.98,490.01,490.01,0.09953,-53.32,514.2333455,524.77
490.01,524.77,490.01,524.77,3.811e-05,-9.342622365,515.8543692,524.77
524.77,524.77,524.77,524.77,0,-10.94600251,517.2260047,475.01
524.77,524.77,475,475.01,3.41,-99.98180826,510.7312348,475.01
475.01,475.01,475.01,475.01,0,-99.98180164,505.2356602,524.77
475.01,524.77,475.01,524.77,0.1769,-0.46,508.2409432,480
524.77,524.77,480,480,1.24,-89.97594226,503.8961827,488.77
480,524.77,465,488.77,41.14,-60.30394122,501.5690777,475
488.77,488.77,465,475,0.5077,-83.2999332,497.4815273,475
475,475,475,475,0.02,-83.2999332,494.0228308,475
475,475,475,475,1.01,-83.2999332,491.0962414,475
475,475,475,475,0,-83.2999332,488.6198966,474.77
475,475,474.77,474.77,0.1492,-83.65400703,486.4891433,490
474.77,490,474.77,490,0.212,-58.17299649,487.0292751,465.01
490,490,465.01,465.01,3.08,-99.9832692,483.6416943,465
465.01,528,465,465,2.76,-100,480.7737413,445
465,465,445,445,5.14,-100,475.2700888,503.18
445,503.18,400,503.18,18.12,-19.390625,479.5639213,375.94
503.18,503.18,375.94,375.94,1.5,-100,463.6217796,385
375.94,466.67,375.94,385,0.1559,-94.0418256,451.5261212,385.01
385,450,385,385.01,1.2,-94.03524924,441.2928718,404.83
385.01,425,295,404.83,24.18,-52.86266094,435.6831992,449.81
404.83,453,404.83,449.81,6.9,-33.55793991,437.8565532,433.15
449.81,449.81,412.34,433.15,4.09,-40.70815451,437.1324681,397
433.15,433.15,397,397,4.51,-56.22317597,430.9582422,397
397,397,397,397,0,-56.22317597,425.7338972,397
397,397,397,397,0,-56.22317597,421.3132977,390
397,450,387.63,390,10.78,-59.22746781,416.4958673,370.94
390,394,370.01,370.94,0.7155,-67.40772532,409.4872723,380.02
370.94,393.22,370.12,380.02,6.68,-59.16034201,404.9538458,390
380.02,390,380.02,390,2,-54.36641368,402.6532541,370.11
390,390,370.1,370.11,0.275,-63.9206456,397.6465996,355
370.11,389.98,355,355,20.27,-65.04922235,391.0855843,322.11
355,369.63,322.11,322.11,38.11,-82.84177215,380.473956,330
322.11,330,273.33,330,18.72,-68.45884121,372.708732,349.85
330,349.85,300,349.85,53.41,-57.4108087,369.192004,335
349.85,349.85,315.06,335,0.12,-65.09311145,363.9316957,359.98
335,359.98,335,359.98,8.1,-50.95375559,363.3237425,370.19
359.98,400,335.16,370.19,30.22,-45.17461935,364.3800898,355.59
370.19,378.99,355.59,355.59,7.78,-53.43861437,363.0277683,357.18
355.59,379,355.59,357.18,0.4618,-52.53863135,362.1281116,379
357.18,379,352.83,379,16.63,-16.57851109,364.7237868,400
