"open","high","low","close","volume","next1"
231.83,239.36,220,220,55.19,216.69
220,239.98,216.69,216.69,13.39,239.98
216.69,239.98,210.01,239.98,5.1,228
239.98,239.98,223.94,228,5.23,235.45
228,246.93,228,235.45,18.47,228.9
235.45,235.45,221.85,228.9,15.17,217
228.9,228.9,215.25,217,17.34,221.92
217,225,215,221.92,12.4,229.66
221.92,231.58,218.44,229.66,1.81,229.23
229.66,229.66,218.81,229.23,14.25,220.5
229.23,229.23,215,220.5,16.66,215.01
220.5,221.92,215,215.01,3.39,207.2
215.01,215.01,205,207.2,5.63,224
207.2,224,207.2,224,2.52,232.8
224,240,207,232.8,58.79,250
232.8,250,228,250,44.01,233.94
250,264.8,228,233.94,48.46,250.66
233.94,250.66,227.67,250.66,27.26,249.98
250.66,250.66,230.3,249.98,7.42,236
249.98,249.98,230.3,236,14.94,240.1
236,244.06,236,240.1,6.17,241.03
240.1,248.5,240.1,241.03,40.23,240.12
241.03,244.09,240.09,240.12,0.2377,235
240.12,247.44,235,235,21.4,236.12
235,239.9,234.08,236.12,28.05,238
236.12,238,236.12,238,0.88,237.02
238,240.18,237.02,237.02,6.48,239.64
237.02,239.64,235,239.64,22.71,256
239.64,259.42,238,256,122.77,250.13
256,256,244,250.13,43.61,250.36
250.13,261.5,240.01,250.36,24.21,271.37
250.36,280,249.89,271.37,53.78,277
271.37,280.09,264.69,277,24.73,269.4
277,285.73,267.32,269.4,36.32,274.49
269.4,278.61,265.17,274.49,16.6,260
274.49,275.46,260,260,10.93,269.93
260,270,260,269.93,0.1874,270.08
269.93,280,269.93,270.08,3.76,297
270.08,297.51,270.08,297,18.78,295
297,300,287.21,295,26.6,295.68
295,299.94,289,295.68,37.08,290.28
295.68,296.94,289.37,290.28,10.73,285
290.28,293,272,285,77.95,282.33
285,288.63,272.64,282.33,54.76,288
282.33,288,281.51,288,0.1454,294.44
288,294.44,288,294.44,32.99,284
294.44,294.96,284,284,17.76,257.48
284,288.2,250,257.48,37.81,255
257.48,280.87,253.45,255,6.26,261.65
255,271,255,261.65,1.21,259.68
261.65,272.49,259.68,259.68,0.1201,271.34
259.68,271.34,258.06,271.34,18.18,266.58
271.34,272,263,266.58,9.08,255.33
266.58,266.58,245,255.33,28.13,250.98
255.33,255.33,237.69,250.98,10.57,251.9
250.98,269,250.05,251.9,14.12,252
251.9,252,242.88,252,0.6849,252.5
252,255.7,247.81,252.5,2.12,243.59
252.5,252.5,240.44,243.59,4.38,269
243.59,269,240.19,269,4.65,244.42
269,269,244.42,244.42,1.03,242.98
244.42,249.24,241.06,242.98,17.81,251.2
242.98,255.93,240,251.2,16.16,252.9
251.2,256,249.37,252.9,6.6,249.56
252.9,255,249.52,249.56,9.16,259.99
249.56,259.99,249.56,259.99,1.45,254.38
259.99,262.42,253.01,254.38,8.99,248.84
254.42,256.88,246.51,248.84,25.79,249.46
248.84,258.24,244.39,249.46,13.77,249.27
249.46,249.46,239.96,249.27,7.55,242.5
249.27,249.27,232.85,242.5,37.67,232.58
242.5,242.5,230.76,232.58,23.62,240
232.58,240,232.58,240,18.94,227.94
240,254.38,223.54,227.94,21.32,221.98
227.94,231.85,216.5,221.98,41.27,220.11
221.98,224,219.66,220.11,12.48,233.6
220.11,234.7,220.11,233.6,9.11,223.01
233.6,233.6,223.01,223.01,2.31,222.02
223.01,227.49,222,222.02,4.91,226.79
222.02,229,222.02,226.79,10.28,223.6
226.79,228,223.26,223.6,39.33,234.74
223.6,235.23,223.6,234.74,93.12,233.27
234.74,238.89,232.09,233.27,41.04,234.99
233.27,235.69,231,234.99,23.61,230.96
234.99,237.58,227.96,230.96,42.22,227.49
230.96,232.14,226.03,227.49,5.8,220.15
227.49,227.49,216.34,220.15,35.01,228.26
220.15,238.56,217.34,228.26,28.26,224.84
228.26,233.25,224,224.84,42.78,226
224.84,232,224,226,24.59,237.31
226,239.65,225.69,237.31,49.81,232.1
237.31,238.97,231.7,232.1,30.42,234.15
232.1,239.09,231.21,234.15,31.21,240.36
234.15,242.5,234.15,240.36,24.95,236.19
240.36,242.11,236.19,236.19,12.16,235.59
236.19,239.11,231.42,235.59,14.64,228
234.88,239.35,228,228,50.49,235.71
228,242.44,227,235.71,25.63,240.51
235.71,243,234.8,240.51,14.68,241.74
240.51,243,234.13,241.74,14.44,239.24
241.74,242.62,236.13,239.24,8.45,241.86
239.24,243.15,238.8,241.86,35.81,242.99
241.86,242.99,237.55,242.99,32.16,235.09
242.99,244,235.08,235.09,63.85,236.47
235.09,237.99,235,236.47,7.28,238.98
238.51,240.05,237.49,238.98,1.22,237.35
238.98,239.39,235.14,237.35,3.67,235.86
237.35,237.57,235.6,235.86,1.39,233.34
235.86,236.62,231.91,233.34,13.18,232.78
233.34,233.91,231.43,232.78,24.91,234.8
232.78,235.06,231.1,234.8,23.32,236.09
234.55,238.18,233.97,236.09,11.64,237.59
236.09,244,233.91,237.59,63.87,237.39
237.59,240.84,237.39,237.39,28.22,240.68
237.39,241.13,237.39,240.68,10.83,235.92
240.68,240.68,234.83,235.92,31.94,236.03
236.19,237.11,235.17,236.03,6.32,235.3
236.03,238,234.77,235.3,8.24,235.83
235.3,237.9,234.03,235.83,1.62,234.91
235.83,235.92,234.91,234.91,8.44,232.81
234.91,235.24,230.55,232.81,13.47,227.59
232.81,235.86,227.59,227.59,12.77,224.23
227.59,232.4,222.03,224.23,33.59,229.5
224.23,229.5,222.29,229.5,4.71,227
229.5,229.5,226,227,23.8,223.12
227,228.79,223.04,223.12,48.91,225
223.12,228.3,220.34,225,35.25,223.7
225,225.65,223.7,223.7,5.36,224.35
223.7,225.33,223.7,224.35,0.3,224.35
224.35,224.35,224.35,224.35,0,230.92
226.79,230.92,226.79,230.92,2.41,227.26
230.92,230.92,226.57,227.26,8.95,228.92
227.26,231.59,227.26,228.92,33.69,229.44
228.92,233.15,228.86,229.44,62.23,231.04
229.44,231.06,226.14,231.04,25.31,232.15
232,233.29,231.19,232.15,18.23,235.54
232.15,235.54,231.34,235.54,20.07,247.14
235.54,251,233.82,247.14,140.78,245.03
247.14,256.38,245.03,245.03,67.31,247.5
245.03,252.66,244,247.5,29.81,245.5
247.69,249.63,227,245.5,116.85,243.85
245.5,245.5,241.5,243.85,19.41,241
243.85,244.96,238.05,241,41.9,248.08
241,248.08,241,248.08,39.37,243.72
248.08,248.08,243.72,243.72,49.66,241.67
243.72,243.72,240.17,241.67,1.31,242.04
241.67,244,239.53,242.04,16.47,242
242.04,244,242,242,1.76,251.93
242,251.93,242,251.93,33.66,248.5
251.93,260,247.45,248.5,55.48,268.47
248.5,268.5,248.5,268.47,95.24,262.63
268.47,273,258.49,262.63,67.94,258.1
262.63,265.02,255.5,258.1,71.06,254.74
258.1,259.76,253.43,254.74,15.94,254.01
254.74,273,252.88,254.01,19.88,262
254.01,263,254.01,262,17.28,269.62
262,274.68,257.12,269.62,69.67,274.59
269.62,278,268.14,274.59,96.76,265.36
274.59,274.59,265,265.36,29.65,270.01
265.36,276.32,265.36,270.01,35.2,269.67
270.01,275.67,267.39,269.67,34.26,284.54
269.67,297,268.96,284.54,167.87,293.6
284.54,298.99,283.06,293.6,71.96,308.14
293.6,316.01,291.69,308.14,138.95,290.18
308.14,312.3,269,290.18,337.1,288.75
290.18,295.97,286.79,288.75,36.2,287.5
