open,high,low,close,volume,nextvolume
596.25,598.03,579,579,9.04,0
579,579,579,579,0,16.81
579,593,577.24,580.58,16.81,0.4273
580.58,590,580.58,590,0.4273,7.8
590,590,578.14,590,7.8,1.66
590,595.36,583.24,583.24,1.66,0.4779
583.24,595.36,572.77,572.77,0.4779,3.82
572.77,580,566.99,580,3.82,4.35
580,580,531.64,535.08,4.35,31.83
535.08,553.83,501,523.76,31.83,22.87
523.76,530,501,530,22.87,12.1
530,530,500,503.52,12.1,2.65
503.52,539.99,500,500,2.65,28.55
500,505,455,455,28.55,77.76
455,500.5,455,500.5,77.76,13.53
474.02,530,474.02,530,13.53,4.62
530,530,500.01,505,4.62,9.62
505,529.97,482.22,529.95,9.62,0.5639
529.95,529.95,482.27,525,0.5639,0.7
525,525,524.88,524.88,0.7,26.86
524.88,524.88,490.1,516.12,26.86,0
516.12,516.12,516.12,516.12,0,1.31
516.12,524.85,516.12,524.85,1.31,0.02382
524.85,524.85,495.08,495.08,0.02382,0.5178
495.08,524.88,495.08,524.88,0.5178,0.4584
524.88,524.88,495.26,524.27,0.4584,5.61
524.27,524.27,490.5,509.98,5.61,0.09953
509.98,509.98,490.01,490.01,0.09953,0.00003811
490.01,524.77,490.01,524.77,0.00003811,0
524.77,524.77,524.77,524.77,0,3.41
524.77,524.77,475,475.01,3.41,0
475.01,475.01,475.01,475.01,0,0.1769
475.01,524.77,475.01,524.77,0.1769,1.24
524.77,524.77,480,480,1.24,41.14
480,524.77,465,488.77,41.14,0.5077
488.77,488.77,465,475,0.5077,0.02
475,475,475,475,0.02,1.01
475,475,475,475,1.01,0
475,475,475,475,0,0.1492
475,475,474.77,474.77,0.1492,0.212
474.77,490,474.77,490,0.212,3.08
490,490,465.01,465.01,3.08,2.76
465.01,528,465,465,2.76,5.14
465,465,445,445,5.14,18.12
445,503.18,400,503.18,18.12,1.5
503.18,503.18,375.94,375.94,1.5,0.1559
375.94,466.67,375.94,385,0.1559,1.2
385,450,385,385.01,1.2,24.18
385.01,425,295,404.83,24.18,6.9
404.83,453,404.83,449.81,6.9,4.09
449.81,449.81,412.34,433.15,4.09,4.51
433.15,433.15,397,397,4.51,0
397,397,397,397,0,0
397,397,397,397,0,10.78
397,450,387.63,390,10.78,0.7155
390,394,370.01,370.94,0.7155,6.68
370.94,393.22,370.12,380.02,6.68,2
380.02,390,380.02,390,2,0.275
390,390,370.1,370.11,0.275,20.27
370.11,389.98,355,355,20.27,38.11
355,369.63,322.11,322.11,38.11,18.72
322.11,330,273.33,330,18.72,53.41
330,349.85,300,349.85,53.41,0.12
349.85,349.85,315.06,335,0.12,8.1
335,359.98,335,359.98,8.1,30.22
359.98,400,335.16,370.19,30.22,7.78
370.19,378.99,355.59,355.59,7.78,0.4618
355.59,379,355.59,357.18,0.4618,16.63
357.18,379,352.83,379,16.63,20.85
379,400,370.1,400,20.85,29.73
400,418.99,395.28,411.26,29.73,11.23
411.26,411.26,385.48,400.31,11.23,16.08
400.31,400.31,374.61,389.14,16.08,0.05216
389.14,389.14,376.73,381.01,0.05216,0.9598
381.01,395.79,371,395.79,0.9598,0
395.79,395.79,395.79,395.79,0,0.05
395.79,395.79,391.24,391.24,0.05,9.92
391.24,391.58,371,391.58,9.92,2.66
391.58,393.49,371.38,388.71,2.66,11.95
388.71,388.71,365,368.64,11.95,7.6
368.64,373.69,355,373.35,7.6,7.81
373.35,373.35,355,359.51,7.81,6.12
359.51,384.72,359.51,362.5,6.12,0.04324
362.5,368.15,362.5,364.3,0.04324,0.5898
364.3,365.13,352.01,365.13,0.5898,8.87
365.13,365.13,335.01,335.07,8.87,7.56
335.07,350,335,346.02,7.56,0.03559
346.02,347.95,344.29,347.95,0.03559,5.66
347.95,347.95,320,320,5.66,0.1154
320,325.19,320,323.94,0.1154,4.97
323.94,325.19,323.94,325,4.97,16.87
325,330,325,325,16.87,9.73
325,348.2,325,328.2,9.73,0.04009
328.2,349.17,328.2,348,0.04009,6.6
348,348,333,347.08,6.6,4.81
347.08,350,330.16,350,4.81,19.36
350,350,338.66,350,19.36,3.57
350,370,350,355,3.57,5.42
355,372.63,355,371.7,5.42,219.46
371.7,430.36,371.7,423.48,219.46,65.88
423.48,450,380,415,65.88,23.16
415,417.77,395,395,23.16,10.68
395,395,378.97,379.99,10.68,1.56
379.99,395,379.56,380,1.56,25.27
380,414.26,376,400,25.27,13.23
400,400,370.39,375.02,13.23,0.9256
375.02,392.96,375.02,390,0.9256,67.07
390,390,354.33,354.38,67.07,1.64
354.38,360,342.66,360,1.64,4.05
360,370,360,370,4.05,4.76
370,370,360,370,4.76,11.24
370,385,370,372,11.24,10.13
372,390,372,376,10.13,19.24
376,389.94,366.42,372.87,19.24,2.38
372.87,385.69,365.01,376.9,2.38,23.27
376.9,387,360.52,387,23.27,4.2
387,387,379.09,379.09,4.2,0.001595
379.09,386.32,379.09,386.32,0.001595,4.18
386.32,386.74,370.13,374.03,4.18,3.81
374.03,386.15,372.91,386.15,3.81,23.49
386.15,386.15,371.46,380,23.49,3.76
380,380,364.72,379.75,3.76,4.68
379.75,380,375.19,375.19,4.68,34.17
375.19,394.59,367,374,34.17,0.3818
374,389.98,370.43,373.07,0.3818,4.53
373.07,376.06,360.29,362.58,4.53,6.64
362.58,376,342.46,345.49,6.64,0.1607
345.49,357.5,345.49,345.56,0.1607,0.7364
345.56,372.12,342.5,372.12,0.7364,0.9118
372.12,372.12,346.77,360,0.9118,33.15
360,360,350,352,33.15,0.6043
352,358.98,350,350,0.6043,22.78
350,358.98,342.04,343.07,22.78,4.45
342.04,358.92,330.09,330.09,4.45,30.11
330.09,355.33,315.02,329.99,30.11,5.86
329.99,332.17,310,320,5.86,23.07
320,368.12,310.03,349.98,23.07,1.87
349.98,349.98,348.99,348.99,1.87,39.87
348.99,348.99,319.67,325.01,39.87,1.08
325.01,327.06,325.01,327.06,1.08,0.5716
327.06,342.08,327.06,338.75,0.5716,4.11
338.75,338.75,320.38,320.38,4.11,0
320.38,320.38,320.38,320.38,0,0.01
320.38,320.48,320.38,320.48,0.01,3.74
