"open","high","low","close","volume","ema26","cny","next1"
629.46,639.34,629.46,632,0.6899,615.7904187,6.195723,626.5
632,653.49,625.29,626.5,1.05,616.5837211,6.194826,626.23
626.5,632.67,618.14,626.23,1.34,617.2982602,6.19446,620.03
626.23,626.23,620.03,620.03,0.18,617.5006113,6.197868,625.22
620.03,626.16,612.9,625.22,7.41,618.0724179,6.200212,624.98
625.22,630.01,610.35,624.98,0.9631,618.5840906,6.19765,626
624.98,629,615.17,626,12.29,619.1334173,6.196868,630
626,630,626,630,1.56,619.9383493,6.199752,619
630,630,619,619,0.5068,619.868842,6.198592,629.77
619,629.77,619,629.77,0.0006352,620.6022611,6.2067,618.69
629.77,629.77,618.69,618.69,8.44,620.4606121,6.20127,618.62
618.69,623.98,610,618.62,7.5,620.3242705,6.195547,605.64
618.62,623.43,593.86,605.64,17.72,619.2365467,6.191859,596.08
605.64,623.22,593.8,596.08,8.67,617.521247,6.188057,600
596.08,607.96,593.8,600,5.06,616.2233768,6.185641,600
600,600,600,600,0.1545,615.0216452,6.186159,591.9
600,600,574.58,591.9,4.09,613.3089308,6.186246,583.21
591.9,597.66,575.07,583.21,2.68,611.0793803,6.182646,566.75
583.21,588.98,566.75,566.75,11.67,607.7957225,6.177176,590.21
566.75,591.95,566.75,590.21,33.05,606.4930764,6.170139,596.4
590.21,602.36,584.77,596.4,3.05,605.7454411,6.172315,590.49
596.4,601.18,590.49,590.49,2.57,604.6154084,6.178579,578.86
590.49,594.8,578.86,578.86,1.79,602.7076004,6.178215,596.25
578.86,596.25,578.86,596.25,4.11,602.2292596,6.1774,579
596.25,598.03,579,579,9.04,600.5085737,6.17638,579
579,579,579,579,0,598.9153461,6.169614,580.58
579,593,577.24,580.58,16.81,597.5571723,6.162975,590
580.58,590,580.58,590,0.4273,596.9973817,6.162273,590
590,590,578.14,590,7.8,596.4790572,6.157515,583.24
590,595.36,583.24,583.24,1.66,595.4983863,6.156337,572.77
583.24,595.36,572.77,572.77,0.4779,593.8148021,6.15592,580
572.77,580,566.99,580,3.82,592.7914834,6.15474,535.08
580,580,531.64,535.08,4.35,588.5165587,6.157496,523.76
535.08,553.83,501,523.76,31.83,583.7197766,6.155415,530
523.76,530,501,530,22.87,579.7405339,6.153421,503.52
530,530,500,503.52,12.1,574.0945684,6.150897,500
503.52,539.99,500,500,2.65,568.6060819,6.150575,455
500,505,455,455,28.55,560.1908165,6.149238,500.5
455,500.5,455,500.5,77.76,555.7692746,6.145718,530
474.02,530,474.02,530,13.53,553.8604394,6.143888,505
530,530,500.01,505,4.62,550.2411476,6.142109,529.95
505,529.97,482.22,529.95,9.62,548.7380996,6.152138,525
