open,high,low,close,volume,nextlow
236.03,238,234.77,235.3,8.24,234.03
235.3,237.9,234.03,235.83,1.62,234.91
235.83,235.92,234.91,234.91,8.44,230.55
234.91,235.24,230.55,232.81,13.47,227.59
232.81,235.86,227.59,227.59,12.77,222.03
227.59,232.4,222.03,224.23,33.59,222.29
224.23,229.5,222.29,229.5,4.71,226
229.5,229.5,226,227,23.8,223.04
227,228.79,223.04,223.12,48.91,220.34
223.12,228.3,220.34,225,35.25,223.7
225,225.65,223.7,223.7,5.36,223.7
223.7,225.33,223.7,224.35,0.3,224.35
224.35,224.35,224.35,224.35,0,226.79
226.79,230.92,226.79,230.92,2.41,226.57
230.92,230.92,226.57,227.26,8.95,227.26
227.26,231.59,227.26,228.92,33.69,228.86
228.92,233.15,228.86,229.44,62.23,226.14
229.44,231.06,226.14,231.04,25.31,231.19
232,233.29,231.19,232.15,18.23,231.34
232.15,235.54,231.34,235.54,20.07,233.82
235.54,251,233.82,247.14,140.78,245.03
247.14,256.38,245.03,245.03,67.31,244
245.03,252.66,244,247.5,29.81,227
247.69,249.63,227,245.5,116.85,241.5
245.5,245.5,241.5,243.85,19.41,238.05
243.85,244.96,238.05,241,41.9,241
241,248.08,241,248.08,39.37,243.72
248.08,248.08,243.72,243.72,49.66,240.17
243.72,243.72,240.17,241.67,1.31,239.53
241.67,244,239.53,242.04,16.47,242
242.04,244,242,242,1.76,242
242,251.93,242,251.93,33.66,247.45
251.93,260,247.45,248.5,55.48,248.5
248.5,268.5,248.5,268.47,95.24,258.49
268.47,273,258.49,262.63,67.94,255.5
262.63,265.02,255.5,258.1,71.06,253.43
258.1,259.76,253.43,254.74,15.94,252.88
254.74,273,252.88,254.01,19.88,254.01
254.01,263,254.01,262,17.28,257.12
262,274.68,257.12,269.62,69.67,268.14
269.62,278,268.14,274.59,96.76,265
274.59,274.59,265,265.36,29.65,265.36
265.36,276.32,265.36,270.01,35.2,267.39
270.01,275.67,267.39,269.67,34.26,268.96
269.67,297,268.96,284.54,167.87,283.06
284.54,298.99,283.06,293.6,71.96,291.69
293.6,316.01,291.69,308.14,138.95,269
308.14,312.3,269,290.18,337.1,286.79
290.18,295.97,286.79,288.75,36.2,287.5
288.75,293.79,287.5,287.5,9.26,273.4
287.5,292,273.4,276.74,54.21,275.52
276.74,281.31,275.52,280.38,4.76,274.92
280.38,281.69,274.92,278.01,14.07,274.32
278.01,279.57,274.32,275.54,0.4725,275.54
275.54,280.4,275.54,277.56,83.54,276.45
277.56,281.41,276.45,276.45,20.68,275.31
276.45,279.38,275.31,276.98,60.14,276.03
276.98,278.4,276.03,276.89,24.71,276.18
276.89,290,276.18,290,41.53,286.67
290,291.81,286.67,288.92,27.57,287.83
288.92,293.85,287.83,291.28,8.72,286.55
291.28,296.1,286.55,296.1,11.07,287
296.1,296.8,287,293.56,57.37,280
293.56,293.56,280,291.61,29.31,280
291.61,291.61,280,288.96,30.74,280
288.96,293.48,280,293.48,41.34,277.12
293.48,293.48,277.12,283.27,63.84,277.91
283.27,289.89,277.91,283.84,0.8988,280.57
283.84,285.51,280.57,283.87,18.34,280.53
283.87,287.68,280.53,287.68,21.61,281.02
287.68,287.77,281.02,284.83,30.98,278.6
284.83,286.96,278.6,278.67,19.72,274.15
278.67,290,274.15,281.04,62.78,263.83
281.04,283.78,263.83,263.83,20.31,258
263.83,269.77,258,269.77,23.82,262.49
269.77,273.88,262.49,266.85,19.33,260
266.85,270,260,270,99.5,265.49
270,270,265.49,270,61.28,261.64
