close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
"4,848.30",6.28,94.2,76.74746847,180.42,44.27425225,1.046606511,"9,692.50","1.574,80",4854.75
"4,874.50",6.51,98.14,78.2006623,186.93,45.12466281,1.048027142,"9,684.50","1.576,60",4825.373333
"4,854.31",5.25,98.5,74.3447823,181.68,44.66575832,1.033687456,"9,697.00","1.577,80",4813.71
"4,835.44",5.24,96.15,70.82959785,176.44,45.26463273,1.036973813,"9,690.50","1.588,30",4802.84
"4,786.37",6.1,89.3,62.54756627,170.34,47.24858753,1.014831164,"9,702.50","1.590,60",4814.926667
"4,819.32",5.85,85.55,65.46750729,176.19,48.74225985,1.004906387,"9,704.50","1.592,50",4818.986667
"4,802.83",4.77,80.32,62.82756646,171.42,48.13209843,0.998175247,"9,711.00","1.604,60",4818.933333
"4,822.63",6.05,76.88,64.66979604,177.47,47.39623426,1.0128469,"9,712.00","1.611,30",4785.776667
"4,831.50",6.75,74.02,65.49478958,184.22,46.71793181,1.01679399,"9,724.00","1.607,50",4775.163333
"4,802.67",7.49,68.64,60.54603603,176.73,48.26879382,0.995438039,"9,733.00","1.613,80",4788.446667
"4,723.16",6.12,57.3,49.44897106,170.61,51.61673712,0.974188891,"9,742.50","1.606,20",4856.76
"4,799.66",4.9,53.86,57.51691427,175.51,52.44697019,0.98464663,"9,734.00","1.604,60",4903.87
"4,842.52",5.34,53.97,61.2485262,180.85,53.18361517,0.997571231,"9,731.50","1.595,80",4935.556667
"4,928.10",6.72,60.27,67.40504968,187.57,55.49764266,1.019162682,"9,724.50","1.606,20",4945.273333
"4,940.99",4.71,65.55,68.223916,192.28,54.57352533,1.032304231,"9,717.50","1.594,80",4958.766667
"4,937.58",5.29,68.66,67.73908747,186.99,52.87970209,1.024538732,"9,737.50","1.600,00",4953.776667
"4,957.25",7.97,71.89,69.10304808,194.96,50.92400908,1.032151877,"9,737.00","1.575,10",4943.383333
"4,981.47",7.08,75.53,70.74328008,202.04,49.98443701,1.032936385,"9,747.00","1.552,80",4915.4
"4,922.61",5.16,72.83,62.11338279,196.88,49.87554865,1.018857498,"9,749.00","1.551,80",4907.726667
"4,926.07",4.46,70.16,62.40372208,201.34,49.25015232,1.025694041,"9,747.00","1.575,40",4891.53
"4,897.52",4.31,64.99,58.42508754,197.03,50.15299858,1.036915963,"9,748.50","1.572,00",4900.443333
"4,899.59",4.44,60.36,58.63103061,201.47,50.01492725,1.020820225,"9,720.00","1.586,20",4912.983333
"4,877.48",3.86,54.28,55.47035548,197.61,49.67386102,1.007219382,"9,690.00","1.558,30",4918.686667
"4,924.26",4.52,52.64,60.34163743,202.13,49.46715666,0.999220795,"9,703.00","1.564,30",4925.683333
"4,937.21",4.31,51.78,61.59415995,206.44,47.64807404,0.999234971,"9,712.50","1.501,00",4946.163333
"4,894.59",2.78,47.12,55.3934998,203.66,47.54178304,0.991293306,"9,712.00","1.360,60",4985.513333
"4,945.25",3.93,46.97,60.48553007,207.59,50.49951282,0.997579303,"9,717.00","1.386,80",5003.25
"4,998.65",3.86,50.58,65.01858474,211.45,50.70669048,1.003448781,"9,710.00","1.382,20",5002.673333
"5,012.64",5.29,53.94,66.11531394,216.74,49.75264116,1.018289078,"9,714.50","1.392,00",4990.236667
"4,998.46",5.39,54.84,63.92758493,211.35,48.89459536,1.014695284,"9,712.50","1.395,30",4994.62
