"open","high","low","close","volume","ema26","cny","ltc","next1"
596.25,598.03,579,579,9.04,600.5085737,6.17638,0.01232,579
579,579,579,579,0,598.9153461,6.169614,0.01234,580.58
579,593,577.24,580.58,16.81,597.5571723,6.162975,0.01215,590
580.58,590,580.58,590,0.4273,596.9973817,6.162273,0.01198,590
590,590,578.14,590,7.8,596.4790572,6.157515,0.01188,583.24
590,595.36,583.24,583.24,1.66,595.4983863,6.156337,0.01179,572.77
583.24,595.36,572.77,572.77,0.4779,593.8148021,6.15592,0.01056,580
572.77,580,566.99,580,3.82,592.7914834,6.15474,0.009931,535.08
580,580,531.64,535.08,4.35,588.5165587,6.157496,0.009162,523.76
535.08,553.83,501,523.76,31.83,583.7197766,6.155415,0.009946,530
523.76,530,501,530,22.87,579.7405339,6.153421,0.01017,503.52
530,530,500,503.52,12.1,574.0945684,6.150897,0.009691,500
503.52,539.99,500,500,2.65,568.6060819,6.150575,0.008876,455
500,505,455,455,28.55,560.1908165,6.149238,0.008198,500.5
455,500.5,455,500.5,77.76,555.7692746,6.145718,0.009549,530
474.02,530,474.02,530,13.53,553.8604394,6.143888,0.0107,505
530,530,500.01,505,4.62,550.2411476,6.142109,0.01115,529.95
505,529.97,482.22,529.95,9.62,548.7380996,6.152138,0.01033,525
529.95,529.95,482.27,525,0.5639,546.9797219,6.153941,0.009691,524.88
525,525,524.88,524.88,0.7,545.3427055,6.153657,0.01064,516.12
524.88,524.88,490.1,516.12,26.86,543.1780606,6.153758,0.01036,516.12
516.12,516.12,516.12,516.12,0,541.1737598,6.155758,0.01085,524.85
516.12,524.85,516.12,524.85,1.31,539.9645924,6.155734,0.01058,495.08
524.85,524.85,495.08,495.08,0.02382,536.6398078,6.147656,0.01033,524.88
495.08,524.88,495.08,524.88,0.5178,535.7687109,6.146739,0.01058,524.27
524.88,524.88,495.26,524.27,0.4584,534.9169546,6.147069,0.01038,509.98
524.27,524.27,490.5,509.98,5.61,533.0697727,6.147277,0.01021,490.01
509.98,509.98,490.01,490.01,0.09953,529.8801599,6.14566,0.01012,524.77
490.01,524.77,490.01,524.77,3.811e-05,529.5016296,6.146636,0.01015,524.77
524.77,524.77,524.77,524.77,0,529.1511385,6.151354,0.01023,475.01
524.77,524.77,475,475.01,3.41,525.1406838,6.146463,0.01061,475.01
